#,Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
MCC1314-230,Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,2013-04-04,5100628094,7605.00,Kenny Bros (Civil Eng) Ltd
MCC1314-231,Manchester City Council,Chief Executives,Agency staff provision,2013-04-04,5100628096,10233.41,Celsian Education
MCC1314-232,Manchester City Council,Chief Executives,Seconded Employees,2013-04-04,5100628106,19717.61,Dept for Communities and Local Govt
MCC1314-233,Manchester City Council,GMIST (Greater Mcr Integrated),Hire of Premises,2013-04-04,5100628109,856.50,Manchester City Football Club Plc
MCC1314-234,Manchester City Council,Childrens Services,Transport Coach Hire,2013-04-04,5100628110,-7875.00,APTSL
MCC1314-235,Manchester City Council,Childrens Services,Transport Coach Hire,2013-04-04,5100628112,7875.00,APTSL
MCC1314-236,Manchester City Council,Adult Social Care,Proffesional fees,2013-04-04,5100628114,17797.94,Greater Manchester Probation Board
MCC1314-237,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628115,676.40,SRA Cover Staff Ltd
MCC1314-238,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-04,5100628116,20000.00,City South Manchester Housing Trust
MCC1314-239,Manchester City Council,Corporate Services,Proffesional Fees,2013-04-04,5100628121,16980.00,Curtins Consulting Engineer
MCC1314-240,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-04,5100628122,4164.00,Community Minded Ltd
MCC1314-241,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-04,5100628123,4409.45,Barlow Moor Community Association
MCC1314-242,Manchester City Council,Childrens Services,Payments for services,2013-04-04,5100628126,31382.80,The Together Trust
MCC1314-243,Manchester City Council,Childrens Services,Hire of Premises,2013-04-04,5100628132,650.00,Be My Guest
MCC1314-244,Manchester City Council,Environment and Operations,Contract Cleaning External,2013-04-04,5100628134,14827.81,Morrison Merlin Limited
MCC1314-245,Manchester City Council,Manchester Leisure,Agency staff provision,2013-04-04,5100628136,662.64,Manpower UK Ltd
MCC1314-246,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628138,2132.00,Sanctuary Social Care
MCC1314-247,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628138,1155.35,Sanctuary Social Care
MCC1314-248,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628138,1043.00,Sanctuary Social Care
MCC1314-249,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628138,1003.80,Sanctuary Social Care
MCC1314-250,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628138,913.50,Sanctuary Social Care
MCC1314-251,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628138,895.30,Sanctuary Social Care
MCC1314-252,Manchester City Council,Childrens Services,I T Provision,2013-04-04,5100628139,275782.74,Capita Business Services Ltd
MCC1314-253,Manchester City Council,Childrens Services,I T Provision,2013-04-04,5100628139,2000.00,Capita Business Services Ltd
MCC1314-254,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628147,1097.45,Sanctuary Social Care
MCC1314-255,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628147,1003.80,Sanctuary Social Care
MCC1314-256,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628147,895.30,Sanctuary Social Care
MCC1314-257,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628147,521.50,Sanctuary Social Care
MCC1314-258,Manchester City Council,Chief Executives,Agency staff provision,2013-04-04,5100628147,946.46,Sanctuary Social Care
MCC1314-259,Manchester City Council,Hospitality + Trading Services,Rents,2013-04-04,5100628152,4129.91,Langtree Group Plc
MCC1314-260,Manchester City Council,Chief Executives,Equipment,2013-04-04,5100628158,635.00,Jigsaw Systems Limited
MCC1314-261,Manchester City Council,Adult Social Care,Payments for services,2013-04-04,5100628162,12486.00,NHS Manchester Primary Care Trust
MCC1314-262,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628163,998.30,Rullion Resource Limited
MCC1314-263,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628163,950.88,Rullion Resource Limited
MCC1314-264,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628163,887.15,Rullion Resource Limited
MCC1314-265,Manchester City Council,Adult Social Care,Payments for services,2013-04-04,5100628164,22261.20,NHS Manchester Primary Care Trust
MCC1314-266,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-04-04,5100628170,855.40,Aggregate Industries T/A Kennedy As
MCC1314-267,Manchester City Council,Childrens Services,Transport Taxis,2013-04-04,5100628171,1386.00,Cresta Car Hire
MCC1314-268,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-04-04,5100628176,545.20,Aggregate Industries T/A Kennedy As
MCC1314-269,Manchester City Council,Learning Disabilities PB,Rents,2013-04-04,5100628177,-2472.16,Great Places Housing Association
MCC1314-270,Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,2013-04-04,5100628178,1029.00,Aggregate Industries T/A Kennedy As
MCC1314-271,Manchester City Council,Manchester Leisure,Payments for services,2013-04-04,5100628180,1750.01,Wright Robinson Sports College
MCC1314-272,Manchester City Council,Manchester Leisure,Rents,2013-04-04,5100628184,1870.00,Wright Robinson Sports College
MCC1314-273,Manchester City Council,Regeneration Finance,Training and Development,2013-04-04,5100628186,694.80,Assessment & Qualifications Allianc
MCC1314-274,Manchester City Council,Regeneration Finance,Rents,2013-04-04,5100628187,9066.66,4CT Limited
MCC1314-275,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-04,5100628189,553.94,HR GO Recruitment Healthcare
MCC1314-276,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-04-04,5100628205,42068.89,Carillion Energy Services Ltd
MCC1314-277,Manchester City Council,Childrens Services,Payments for services,2013-04-04,5100628216,3992.25,Cumberland & Westmorland
MCC1314-278,Manchester City Council,Childrens Services,Payments for services,2013-04-04,5100628218,4588.00,Cumberland & Westmorland
MCC1314-279,Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-04-04,5100628219,71085.04,Glendale Managed Services
MCC1314-280,Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-04-04,5100628221,71085.04,Glendale Managed Services
MCC1314-281,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-04,5100628223,640.44,Routes Healthcare Ltd
MCC1314-282,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-04-04,5100628227,603.94,Permadoor
MCC1314-283,Manchester City Council,Childrens Services,Payments for services,2013-04-04,5100628229,3396.00,Cumberland & Westmorland
MCC1314-284,Manchester City Council,Manchester Leisure,Grounds Maintenance,2013-04-04,5100628233,1384.66,Glendale Managed Services
MCC1314-285,Manchester City Council,Chief Executives,Printing,2013-04-04,5100628234,768.00,Mail Solutions
MCC1314-286,Manchester City Council,Chief Executives,Printing,2013-04-04,5100628237,892.00,Mail Solutions
MCC1314-287,Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,2013-04-04,5100628243,624.17,Permadoor
MCC1314-288,Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,2013-04-04,5100628247,750.00,Metronet UK
MCC1314-289,Manchester City Council,Libraries and Theatres,Third party payments relating to Voluntary Organisations,2013-04-04,5100628251,3635.00,Carbon Co-op
MCC1314-290,Manchester City Council,Chief Executives,Security,2013-04-04,5100628254,3188.18,Showsec International Ltd
MCC1314-291,Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,2013-04-04,5100628256,7266.66,Computacenter (UK) Ltd
MCC1314-292,Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,2013-04-04,5100628258,87041.70,Cruden Group Ltd
MCC1314-293,Manchester City Council,Adult Social Care,Publicity,2013-04-04,5100628260,2000.00,Bury M.B.C.
MCC1314-294,Manchester City Council,Hospitality + Trading Services,Agency staff provision,2013-04-04,5100628262,536.87,Service Personnel Ltd
MCC1314-295,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628270,820.14,SRA Cover Staff Ltd
MCC1314-296,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628270,811.68,SRA Cover Staff Ltd
MCC1314-297,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628270,707.70,SRA Cover Staff Ltd
MCC1314-298,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628270,588.00,SRA Cover Staff Ltd
MCC1314-299,Manchester City Council,Corporate Services,Printing,2013-04-04,5100628363,74863.95,Computerland Uk Ltd
MCC1314-300,Manchester City Council,Corporate Services,Printing,2013-04-04,5100628364,901.53,Computerland Uk Ltd
MCC1314-301,Manchester City Council,Chief Executives,Agency staff provision,2013-04-04,5100628385,5221.43,Semester Recruitment Ltd
MCC1314-302,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-04,5100628386,572.95,Semester Recruitment Ltd
MCC1314-303,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-04,5100628387,913.50,Semester Recruitment Ltd
MCC1314-304,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628389,521.50,Semester Recruitment Ltd
MCC1314-305,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-04,5100628392,572.95,Semester Recruitment Ltd
MCC1314-306,Manchester City Council,Adult Social Care,Agency staff provision,2013-04-04,5100628395,887.40,Semester Recruitment Ltd
MCC1314-307,Manchester City Council,Childrens Services,Agency staff provision,2013-04-04,5100628397,521.50,Semester Recruitment Ltd
MCC1314-308,Manchester City Council,Environment and Operations,Proffesional fees,2013-04-04,5100628420,1916.50,Daly Drains Ltd
MCC1314-309,Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-04-04,5100628425,5351.71,Community Security (North West)
MCC1314-310,Manchester City Council,Environment and Operations,Payments to Sub-Contractors,2013-04-04,5100628428,2980.62,Community Security (North West)
MCC1314-311,Manchester City Council,Childrens Services,Fixtures and Fitting,2013-04-05,1903592640,600.00,Barnardos Manchester Leaving Care S
MCC1314-312,Manchester City Council,Childrens Services,Training and Development,2013-04-05,1903592640,780.00,Barnardos Manchester Leaving Care S
MCC1314-313,Manchester City Council,Childrens Services,Childrens Allowances,2013-04-05,1903592640,1782.46,Barnardos Manchester Leaving Care S
MCC1314-314,Manchester City Council,Childrens Services,Compensation Payments,2013-04-05,1903592827,1375.00,Abney Garsden Mcdonald
MCC1314-315,Manchester City Council,Childrens Services,Compensation Payments,2013-04-05,1903592923,5500.00,Abney Garsden Mcdonald
MCC1314-316,Manchester City Council,Childrens Services,Proffesional fees,2013-04-05,1903594253,917.50,Redacted Personal Information
MCC1314-317,Manchester City Council,Childrens Services,Compensation Payments,2013-04-05,1903594656,3500.00,Jordans Solicitors
MCC1314-318,Manchester City Council,Libraries and Theatres,Landline Telephone,2013-04-05,1903595320,2033.50,BT PLC
MCC1314-319,Manchester City Council,Childrens Services,Compensation Payments,2013-04-05,1903595368,15000.00,Abney Garsden Mcdonald
MCC1314-320,Manchester City Council,Childrens Services,Compensation Payments,2013-04-05,1903595373,7700.00,Abney Garsden Mcdonald
MCC1314-321,Manchester City Council,Childrens Services,Compensation Payments,2013-04-05,1903595402,7350.00,Abney Garsden Mcdonald
MCC1314-322,Manchester City Council,Environment and Operations,Compensation Payments,2013-04-05,1903595524,600.00,Department For Work & Pensions
MCC1314-323,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-05,1903596055,635.00,Friends of Annie Lees
MCC1314-324,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-05,1903596056,1271.00,Bennett Street Tenants Association
MCC1314-325,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-05,1903596058,1500.00,Friends of Webster Primary School
MCC1314-326,Manchester City Council,Childrens Services,Compensation Payments,2013-04-05,1903596059,10500.00,Abney Garsden Mcdonald
MCC1314-327,Manchester City Council,Insurance Fund,Insurance,2013-04-05,1903596267,2750.00,Express Solicitors
MCC1314-328,Manchester City Council,Environment and Operations,Compensation Payments,2013-04-05,1903596268,14000.00,Fentons Solicitors LLP
MCC1314-329,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-05,1903596583,1545.42,St Mary of the Angels and St Clare
MCC1314-330,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-05,1903597703,1290.00,Active4u Ltd
MCC1314-331,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-05,1903600518,537.50,Tagpassiton Comm Interest Company
MCC1314-332,Manchester City Council,Regeneration Finance,Grant and subscriptions awarded,2013-04-05,1903600518,537.50,Tagpassiton Comm Interest Company
MCC1314-333,Manchester City Council,Childrens Services,Proffesional fees,2013-04-05,1903600520,550.00,Glaisyers Solicitors
MCC1314-334,Manchester City Council,Childrens Services,Fixtures and Fitting,2013-04-05,1903600526,1000.00,Barnardos Manchester Leaving Care S
MCC1314-335,Manchester City Council,Childrens Services,Training and Development,2013-04-05,1903600526,4059.75,Barnardos Manchester Leaving Care S
MCC1314-336,Manchester City Council,Childrens Services,Childrens Allowances,2013-04-05,1903600526,4412.50,Barnardos Manchester Leaving Care S
MCC1314-337,Manchester City Council,Childrens Services,Proffesional fees,2013-04-05,1903600527,877.50,Stockport Psychology Services
MCC1314-338,Manchester City Council,Childrens Services,Fixtures and Fitting,2013-04-05,1903600528,2420.00,Barnardos Manchester Leaving Care S
MCC1314-339,Manchester City Council,Childrens Services,Training and Development,2013-04-05,1903600528,3039.00,Barnardos Manchester Leaving Care S
MCC1314-340,Manchester City Council,Childrens Services,PNOR-Other Amenities,2013-04-05,1903600528,1105.45,Barnardos Manchester Leaving Care S
MCC1314-341,Manchester City Council,Childrens Services,Rents,2013-04-05,1903600642,2218.97,YMCA Derbyshire
